Longitude,Latitude
-123.155788,49.2343645
-95.3618441,29.75523769
-58.44720695,-34.62668989
-86.78388889,36.165
-83.91707,35.96443
-114.03726,51.0534
-87.61937,41.89036
-118.3397165,34.10184316
-118.3397165,34.10184316
-114.1478915,51.10179118
-75.16645509,39.93997834
-118.3852517,34.08343813
-118.3397165,34.10184316
-118.33951,34.10262
-118.33951,34.10262
-73.24104677,40.8341063
-58.083333,-23.266667
-81.65339546,30.32633066
-99.1329,19.4319
-70.6479,-33.463
-77.0212,-12.0436
-90.5249,14.618
35.3612,31.3893
14.7545,47.6965
114.4017,3.9451
-77.029,38.8991
-73.24076311,40.83410925
-118.3397165,34.10184316
-71.6112996,10.6614006
-118.3397165,34.10184316
-0.45746527,51.47367093
-118.3401775,34.10184626
-97.74361687,30.26960519
-118.3401775,34.10184626
-118.33951,34.10262
-118.3994444,34.07305556
17.0320318,51.10998091
-118.3397165,34.10184316
-79.37536382,43.64842391
-157.794702,21.29819715
-73.966916,40.769208
-123.1322724,49.28086559
-95.46357311,29.74005759
-72.9033754,41.3107461
-78.9647048,34.9485679
-76.6157734,39.3179881
-95.3618441,29.75523769
-73.1090968,7.0797802
-118.33951,34.10262
-118.3401775,34.10184626
-0.2,5.55
-118.3386144,34.10111759
25.855594,62.25083479
-118.33951,34.10262
-73.98196,40.75848
-118.33951,34.10262
-118.33951,34.10262
-58.44720695,-34.62668989
-123.126048,49.28992281
-85.49427592,38.24025214
-118.3397165,34.10184316
-118.3397165,34.10184316
-0.2,5.55
-87.01583862,20.69638861
-106.5217695,31.83373322
-79.3793292,43.64315935
-3.7058,40.4203
82.7948,21.7866
13.377,52.5161
-74.0064,40.7142
-77.0212,-12.0436
-48.0532378,-16.0106014
-77.029,38.8991
-58.44720695,-34.62668989
-118.44778,34.08333
106.8205833,-6.23269073
-118.37247,34.10539
-86.81499481,21.26090104
-0.2,5.55
-118.3401775,34.10184626
-118.3333333,34.1
-118.3401775,34.10184626
-73.977951,40.7651215
-118.3401775,34.10184626
100.546166,13.78895458
-73.994508,40.763186
-117.6812424,34.09027063
-118.3401775,34.10184626
-64.65973679,10.20154119
-77.1114,38.8525
-93.64216919,41.5433254
-75.16645509,39.93997834
82.4327176,25.7719777
-81.65339546,30.32633066
106.81991,-6.232
-0.2,5.55
112.652223,-7.934966
8.0689713,45.1543085
-79.93689,-2.21137
-64.2599671,-27.7372308
178.5106817,-18.0731537
121.0591704,14.4842122
-3.7058,40.4203
-66.8983,10.496
82.7948,21.7866
13.377,52.5161
-58.3735,-34.6085
69.3597,30.4419
-87.67249255,41.90333901
19.1343,51.9189
8.6742,9.0846
113.9174,0.1097
120.7391,15.5931
170.3666,-43.5877
-118.3401775,34.10184626
-66.875,10.4861
-4.1423166,50.38064169
-9.35021,38.7935
-118.3397165,34.10184316
-118.3397165,34.10184316
-118.2456878,34.05020929
-117.898,33.6167
-78.6323256,35.84553382
-119.8033008,39.5009834
-118.4215998,33.90362399
-99.1333,19.4333
-74.0064,40.7142
-118.243,34.0522
8.76408689,45.67015507
-118.33951,34.10262
-118.3401775,34.10184626
-118.3397165,34.10184316
-118.3401775,34.10184626
-106.3276812,42.80574483
7.0492294,50.7458313
-77.029,38.8991
-81.4517,30.6634
-81.6006388,28.302544
-58.44720695,-34.62668989
-1.4645,53.3831
-118.3401775,34.10184626
31.35960745,30.11509289
37.14765453,36.22109985
-118.3401775,34.10184626
-118.3397165,34.10184316
-87.90968018,43.04137104
-79.97181046,37.23647215
-88.03396359,43.91846631
-118.3401775,34.10184626
-118.8041946,34.151451
-118.401,34.0078
-73.97276513,40.7560747
-118.2456878,34.05020929
-118.3709439,34.10843945
-118.3397165,34.10184316
-46.2103132,-23.5605306
-79.52011,43.603485
-97.7639,30.2672
-122.156,47.7525
-118.3397165,34.10184316
-93.280085,44.969072
-69.97142795,18.42994026
-71.6766516,-35.4493352
-122.3474107,47.61254002
-118.33951,34.10262
-118.459,33.9908
13.377,52.5161
-90.08665296,29.93051841
24.677,-28.4832
114.4017,3.9451
-118.3401775,34.10184626
-77.03655811,38.90239361
-80.26669,43.15813
-123.1247109,49.2770463
-74.0064,40.7142
-87.0306015,20.66483069
-98.62793701,29.41676372
-122.3474181,47.6125499
-0.2,5.55
-77.0504648,-12.110179
-91.49764393,41.63457066
-89.9532,34.9715
7.5973,47.56125
-87.6769,41.9075
8.0689775,45.1543011
-88.1383271,41.9748342
-118.33951,34.10262
-71.0552516,42.3561185
-87.90968018,43.04137104
-118.323979,34.155604
-37.06588161,-10.9741986
-80.84079342,35.22483977
-118.3401775,34.10184626
-87.6844,42.0461699
-80.0644,26.71
-95.3618441,29.75523769
-73.64163201,45.5041485
-73.99015513,40.75613667
-88.427401,44.250845
-74.0072403,40.7289505
-96.16091466,19.15546432
-58.3735,-34.6085
-77.0212,-12.0436
-118.3400444,34.1025903
113.9174,0.1097
14.7545,47.6965
19.4544773,51.7765107
103.8277,1.3656
-77.029,38.8991
-118.328,34.0976
-70.53005354,-33.4168448
-46.2102385,-23.5605043
100.534862,13.74568218
-118.33951,34.10262
-73.97527778,40.78694444
-58.3735,-34.6085
-81.68722272,41.48082067
-74.0059,40.74054
-40.31264776,-20.3734467
